Kjördæmi,fixed,adj,SDP,PS,KOK,KESK,VIHR,VAS,RKP,KD,LIIKE,SIN,PIR,05-FÅ,STL,KP,FP,LIBE,SKP,12-E185,EOP,IP,SKE,KTP,05-E6,12-Asyl,04-E118,05-AFÅ,06-RLI,06-REF,02-E492,10-E169,02-Reform,03-E191,11-E154,03-E192,06-PEL,01-E287,02-E491,02-E493,10-E168,04-E117
Party names,,,Suomen Sosialidemokraattinen Puolue,Perussuomalaiset,Kansallinen Kokoomus,Suomen Keskusta,Vihreä liitto,Vasemmistoliitto,Suomen ruotsalainen kansanpuolue,Suomen Kristillisdemokraatit (KD),Liike Nyt,Sininen tulevaisuus,Piraattipuolue,"För Åland, gemensam lista",Seitsemän tähden liike,Kansalaispuolue,Feministinen puolue,Liberaalipuolue - Vapaus valita,Suomen Kommunistinen Puolue,Markus Kuotesaho,Eläinoikeuspuolue,Itsenäisyyspuolue,Suomen Kansa Ensin,Kommunistinen Työväenpuolue - Rauhan ja Sosialismin puolesta,"Jessica ""Jessy"" Eckerman",Aito suomalainen yhteislista (asyl),Maarit Markkula,Alternativ för Åland - gemensam lista,Rehtiliike yhteislista,Reformin yhteislista,Veeti Salo,Voitto Välimäki,Reformin yhteislista,Kari Leppäjoki,Petri Hirvimäki,Petri Paakki,Yhteislista Jaana ja Leo,Jyrki Helminen,Masi Aarnio,Teemu Taskinen,Reija Kuparinen,Olavi Koskela
Helsinki,22,0,52393,47276,84141,11015,90662,42899,20348,7253,13529,2056,5840,0,1285,25,3303,1248,604,0,921,203,347,145,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
Uusimaa,36,0,97107,86691,114243,35348,73626,26257,49625,14912,24778,9498,4083,0,2754,252,1030,1833,1247,0,1075,712,821,278,0,0,0,0,0,0,215,0,183,0,0,0,0,0,64,40,0,0
Varsinais-Suomi,17,0,49156,52913,52367,29796,25309,35481,15238,5121,5322,1427,1244,0,451,0,198,414,292,0,610,442,213,96,0,0,0,0,0,0,0,0,0,166,0,145,0,0,0,0,0,0
Satakunta,8,0,31475,30090,17666,20878,7461,12435,178,3361,0,0,253,0,199,0,131,0,187,0,0,0,0,84,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Åland,1,0,0,0,0,0,0,0,0,0,0,0,0,11640,0,0,0,0,0,0,0,0,0,0,1078,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Häme,14,0,49359,43199,39511,20892,17354,15172,500,11733,3312,821,996,0,1028,81,165,323,0,0,0,0,324,195,0,0,0,0,344,342,0,0,0,0,0,0,87,0,0,0,0,0
Pirkanmaa,19,0,66109,51819,55244,26536,37152,24341,327,17180,7178,3342,2018,0,1371,2964,597,703,728,0,604,621,228,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaakkois-Suomi,17,0,59722,46196,44224,40715,23032,10371,0,10875,4030,3212,687,0,829,473,201,0,121,0,0,48,155,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Savo-Karjala,15,0,38274,39996,27699,50459,21362,15908,0,17389,3425,4128,686,0,769,616,191,0,379,0,0,45,130,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaasa,16,0,33608,42843,29530,50053,10515,8315,52880,16741,0,2470,462,0,777,1843,132,204,119,0,0,130,0,65,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,29,0
Keski-Suomi,10,0,29201,27851,19707,30597,17639,12681,0,8774,4269,705,1239,0,389,350,210,0,344,0,168,0,56,47,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0
Oulu,18,0,26588,52771,28382,78486,20376,33820,432,5728,1593,1801,1244,0,847,1041,383,289,134,4002,0,213,92,47,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lappi,7,0,13479,17160,11243,29145,9706,14128,112,1077,1991,483,280,0,667,0,121,0,150,0,0,30,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
