Kjördæmi,fixed,adj,KOK,PS,SDP,KESK,VAS,VIHR,RKP,KD,LIIKE,VL,LIBE,05-FÅ,VKK,KRIP,EOP,PIR,SKP,SML,KL,13-YL1,SKE,FP,AP,05-VJ,05-OBS,05-HI,02-E485,KAL,02-E486,09-E157,03-E215,07-E240,07-E238,07-E239,01-E294
Party names,,,Kansallinen Kokoomus,Perussuomalaiset,Suomen Sosialidemokraattinen Puolue,Suomen Keskusta,Vasemmistoliitto,Vihreä liitto,Suomen ruotsalainen kansanpuolue,Suomen Kristillisdemokraatit (KD),Liike Nyt,Vapauden liitto,Liberaalipuolue - Vapaus valita,"För Åland, gemensam lista",Valta kuuluu kansalle,Kristallipuolue,Eläinoikeuspuolue,Piraattipuolue,Suomen Kommunistinen Puolue,Sinimusta Liike,Korjausliike,Lapin sitoutumattomat -yhteislista,Suomen Kansa Ensin,Feministinen puolue,Avoin Puolue,"Välfärd och jämlikhet, gemensam lista","Obunden Samling, gemensam lista","Hållbart Initiativ, gemensam lista",Birgitta Johansson,Kansalaisliitto,Tomi Mäkinen,Arto Lukkarinen,Voitto Suominen,Timo Virtanen,Petter Enkvist,Pekka Heiskanen,Jyrki Helminen
Helsinki,23,0,102592,43872,81314,6106,45862,59479,19679,7372,8944,2970,3539,0,985,605,697,1274,710,0,747,0,224,558,949,0,0,0,0,0,0,0,0,0,0,0,23
Uusimaa,37,0,148145,102689,112361,26949,25754,43214,48959,19717,21111,4848,4428,0,1746,923,773,659,434,1363,247,0,181,405,0,0,0,0,267,58,75,0,0,0,0,0,0
Varsinais-Suomi,17,0,64179,55705,50543,23426,32208,19411,13785,7861,6538,2176,1215,0,566,369,308,0,109,326,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
Satakunta,8,0,20381,31875,29427,16637,9903,3235,417,3838,2098,1452,0,0,246,0,0,62,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Åland,1,0,0,0,0,0,0,0,0,0,0,0,0,11452,0,0,0,0,0,0,0,0,0,0,0,923,514,494,0,0,0,0,0,0,0,0,0
Häme,14,0,44555,50611,49137,17902,12171,9818,559,11444,6500,1444,798,0,579,488,432,99,117,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirkanmaa,20,0,66545,62496,80131,22010,21307,23241,937,16912,7899,2926,2080,0,507,654,601,450,473,369,0,0,83,151,0,0,0,0,0,75,0,0,0,44,26,24,0
Kaakkois-Suomi,15,0,50218,52026,54115,31063,8570,11721,477,8023,8026,1728,517,0,1193,438,0,0,258,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Savo-Karjala,15,0,36692,44961,42903,44204,12266,12701,134,22023,4687,1645,484,0,449,347,296,325,190,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
Vaasa,16,0,35116,52532,28983,44270,5965,6752,47596,17120,3715,3552,471,0,527,214,0,0,117,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
Keski-Suomi,10,0,24926,31360,34956,27194,9991,11681,182,8103,2044,1326,0,0,594,219,0,189,240,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oulu,18,0,39228,66655,35997,65558,24702,13156,496,7206,2793,2798,1289,0,778,637,0,0,224,0,113,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lappi,6,0,11978,26199,17685,24321,9731,3386,297,1075,640,693,161,0,299,0,0,0,172,0,0,1231,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
