Kjördæmi,fixed,adj,AP,FRP,H,KRF,MDG,R,SP,SV,V,ALLIAN,DEM,FEMINI,KYSTPA,KONS,LIBERA,NORDMØ,NORDTI,NKP,NORGES,PP,PIRATP,SAMFUN,VELFER,VERDIP
Østfold,8,1,51545,28181,38264,6811,4192,3435,13943,7036,3878,211,190,0,98,518,353,0,0,0,0,1359,0,0,806,0
Akershus,16,1,88689,50741,104451,7839,12459,6542,20219,17859,21853,383,268,0,136,420,598,0,0,0,0,1954,565,0,2052,0
Oslo,18,1,104089,35037,97085,7843,21853,23083,7778,34052,30933,314,326,326,0,343,667,0,0,119,0,1335,630,104,1184,0
Hedmark,6,1,40561,13376,17454,2051,2215,1443,25296,6528,2659,120,192,0,45,165,165,0,0,0,151,1303,0,0,356,0
Oppland,6,1,38056,13285,18163,2281,2550,1823,22990,5028,2776,138,132,0,40,184,146,0,0,0,0,453,0,0,455,0
Buskerud,8,1,43143,26419,41011,3995,4112,2260,16446,7642,5604,221,201,0,91,275,318,0,0,0,0,0,0,0,855,0
Vestfold,6,1,39118,23628,42179,5159,4107,2602,8777,6927,5373,186,160,0,111,403,309,0,0,0,0,0,217,0,672,0
Telemark,5,1,30931,16013,19445,4825,2392,2041,12457,4800,2591,138,129,0,81,537,133,0,0,0,0,0,0,0,354,0
Aust-Agder,3,1,16481,11195,16614,6352,1676,807,5385,2562,2121,61,102,0,24,470,122,0,0,0,0,453,102,0,249,0
Vest-Agder,5,1,21238,17284,28146,12747,2911,1376,6542,4333,3654,99,748,0,66,793,211,0,0,0,0,428,153,0,226,0
Rogaland,13,1,56340,49451,72201,21092,6444,2895,18897,9895,8851,231,240,0,248,1256,644,0,0,75,0,1226,444,0,530,148
Hordaland,15,1,68195,45060,90733,16513,10476,6402,22594,20958,13027,309,328,370,443,1357,601,0,0,0,0,0,486,0,745,0
Sogn og Fjordane,3,1,15258,6153,11572,2683,1410,790,18446,2781,2532,43,43,0,0,255,56,0,0,0,0,0,0,0,110,0
Møre og Romsdal,8,1,31353,32750,34708,9017,3167,1809,19046,5745,5088,181,129,0,121,741,175,2135,0,0,0,798,0,0,0,0
Sør-Trøndelag,9,1,59610,21248,37719,4974,7082,5344,19409,14008,7385,264,168,0,143,225,368,0,0,0,0,3083,361,0,405,0
Nord-Trøndelag,4,1,26822,9014,11568,2115,1386,1282,19155,3951,1758,91,98,0,61,169,78,0,0,0,0,463,112,0,295,0
Nordland,8,1,35196,22248,27273,3284,2932,3905,25207,9467,3509,127,186,0,420,288,269,0,0,59,0,0,210,0,615,0
Troms,5,1,21882,16604,18709,2408,2588,2081,13640,9213,2674,115,119,0,173,160,300,0,59,56,0,0,0,0,289,0
Finnmark - Finnmárku,4,1,12440,6994,5600,808,836,602,5790,3437,1644,79,71,0,166,141,86,0,0,0,0,0,76,0,139,0
