Kjördæmi,fixed,adj,AP,FRP,H,KRF,MDG,R,SP,SV,V,ALLIAN,DEM,FEMINI,FOLKEA,GENERA,INP,KYSTPA,KONS,LIBERA,NKP,PARTIE,PASIEN,PP,PIRATP,REDDNA,VELFER
Østfold,8,1,49345,20527,30211,5414,4782,7418,22849,9840,4771,172,2348,0,285,0,230,0,688,263,0,336,0,1869,155,0,393
Akershus,18,1,95609,38779,101439,7580,17461,14572,32584,25240,25393,309,4007,0,634,112,489,0,719,636,0,953,0,2286,338,0,1161
Oslo,19,1,87158,22784,89342,6922,32198,31352,11953,50382,38142,232,2585,275,1072,0,234,64,474,665,123,1367,0,1312,336,0,593
Hedmark,6,1,38136,9696,12191,1876,2382,3876,32286,7902,2642,100,1355,0,81,0,172,0,219,135,0,210,0,1482,0,97,293
Oppland,5,1,34552,8459,12323,1537,2289,3534,25619,5508,2370,81,930,0,66,0,128,0,212,91,0,184,0,528,65,0,185
Buskerud,7,1,40575,17509,31544,3319,4251,4941,23068,8062,5207,147,1976,0,126,0,275,0,330,244,0,440,0,520,115,0,421
Vestfold,6,1,37518,17271,34831,4861,5428,6155,13775,8670,5771,146,1826,0,71,0,403,0,662,198,0,381,0,562,125,0,383
Telemark,5,1,29883,12297,15198,4327,2729,4506,15963,5934,2203,107,1379,0,87,0,596,0,631,110,0,263,0,419,85,0,193
Aust-Agder,3,1,16147,8728,13305,5749,1976,2456,8907,3644,2136,45,917,0,0,0,279,0,573,102,0,230,0,380,71,0,190
Vest-Agder,5,1,21845,13821,22359,14598,3330,3355,10859,5615,3834,53,2709,0,62,0,360,0,969,164,0,478,0,492,78,0,167
Rogaland,13,1,57969,43382,61992,20859,6152,9620,26955,13261,9106,212,2634,0,316,0,1646,0,1400,424,0,911,0,1327,202,0,500
Hordaland,15,1,68945,38352,74282,14724,11940,14150,29981,26901,13163,206,2876,0,403,87,1738,107,1384,527,77,591,0,2286,262,0,490
Sogn og Fjordane,3,1,16426,5771,8529,2389,1542,2489,17634,3675,2135,43,453,0,0,0,293,0,253,47,0,141,0,173,0,0,89
Møre og Romsdal,7,1,29928,32746,24123,7905,3697,4933,25938,9341,4364,126,1752,0,79,0,1096,0,812,175,0,325,0,790,0,0,280
Sør-Trøndelag,9,1,57621,16650,31837,4211,9268,10852,29181,17635,8435,216,1723,0,0,0,658,0,305,247,63,442,0,3351,212,0,330
Nord-Trøndelag,4,1,25730,6146,8121,1726,1424,3035,22089,4389,1557,79,754,0,23,0,359,0,179,60,0,129,0,643,55,0,145
Nordland,8,1,38611,16338,20532,2637,3138,7273,28465,9620,3342,99,1807,0,0,0,577,0,314,175,38,211,0,586,126,0,339
Troms,5,1,25168,12998,12493,2062,2768,4455,17698,10029,2298,66,1370,0,130,0,319,0,186,187,0,175,0,0,83,0,225
Finnmark - Finnmárku,4,1,12228,4220,2664,648,892,1959,7157,2415,564,50,667,0,0,0,179,0,138,70,0,69,4950,0,0,0,113
