Kjördæmi,fixed,adj,AP,FRP,H,KRF,MDG,R,SP,SV,V,DEM,ENSOMH,FOR,GENERA,INP,KONS,NKP,DNI,PARTIE,PASIEN,PP,REDDUL,VELFER
Party names,,,Arbeiderpartiet,Fremskrittspartiet,Høyre,Kristelig Folkeparti,Miljøpartiet de Grønne,Rødt,Senterpartiet,Sosialistisk Venstreparti,Venstre,Demokratene i Norge,Ensomhetspartiet,Fred og Rettferdighet (FOR),Generasjonspartiet,Industri- og Næringspartiet,Konservativt,Norges Kommunistiske Parti,Partiet DNI,Partiet Sentrum,Pasientfokus,Pensjonistpartiet,Redd Ullevål sykehus,Velferd og innovasjonspartiet
Østfold,8,1,52961,51055,22291,6858,6116,9236,8570,7717,4437,1727,0,525,1198,1104,801,0,236,238,0,2423,0,236
Akershus,19,1,113527,97960,80782,10788,22528,17663,12196,21536,22543,3043,0,1313,2651,1737,1317,0,438,1147,0,3770,0,679
Oslo,19,1,108268,60432,78043,8920,43326,30176,3166,45181,30643,1828,712,2063,1721,802,704,0,202,1295,0,1589,2361,486
Hedmark,6,1,41814,25203,10756,2607,3407,5711,16298,5357,2296,1281,0,265,727,739,329,0,170,137,0,2292,0,188
Oppland,5,1,34045,21908,9445,2270,2954,4584,16172,4640,2215,866,0,246,705,658,316,0,153,189,0,979,0,153
Buskerud,7,1,44347,41658,23109,4280,5383,6110,8353,6572,4644,1362,0,406,1035,870,615,0,264,534,0,1107,0,255
Vestfold,6,1,41589,41731,24968,6239,6488,7431,4982,6189,5291,1228,0,440,1071,969,754,0,287,209,0,1181,0,259
Telemark,5,1,32363,26919,11406,5180,3439,6044,6378,4242,2134,1112,0,290,767,862,717,0,447,142,0,630,0,200
Aust-Agder,3,1,19346,20001,9375,5824,2432,3305,3655,2811,1855,467,0,151,482,516,879,0,138,93,0,540,0,88
Vest-Agder,5,1,26372,31950,15609,15003,4040,4636,4663,4482,3581,687,0,250,654,591,1525,50,145,270,0,877,0,146
Rogaland,13,1,66739,81020,43280,23588,7753,15515,14083,10400,7453,1959,0,711,1672,2093,2468,0,479,379,0,2005,0,419
Hordaland,15,1,86852,77372,54809,16127,15802,16145,13732,18875,11126,1960,0,801,3589,1721,1807,0,489,322,0,2723,0,582
Sogn og Fjordane,3,1,19779,13315,6507,2735,2099,2542,10245,2725,1867,390,0,129,531,259,273,0,110,69,0,263,0,97
Møre og Romsdal,7,1,36992,50722,19821,10599,4831,5418,11488,5965,4659,1105,0,373,1066,1123,958,0,320,140,0,1000,0,229
Sør-Trøndelag,9,1,66378,41123,25893,5184,11953,12422,14026,14265,7602,1504,0,474,1114,1252,456,0,367,224,0,2997,0,347
Nord-Trøndelag,4,1,28821,15457,7157,2081,1884,4115,11776,3330,1447,563,0,170,429,676,264,0,225,59,0,815,0,110
Nordland,8,1,42050,35170,15371,3271,3962,9099,11887,7798,2707,1094,0,363,1057,1399,455,0,397,116,0,1034,0,253
Troms,5,1,28812,25124,10606,2845,3524,7260,6136,7027,1951,741,0,307,730,999,383,0,261,100,0,614,0,143
Finnmark - Finnmárku,3,1,11241,9783,2374,831,861,3930,2188,2080,490,343,0,153,390,401,486,0,152,38,4174,0,0,62
