Kjördæmi,fixed,min_adj,max_adj,M,C,L,KD,S,V,MP,SD,FI,0020,0675,1146,1170,1177,1195,1270,DPNS,DjuP,Däp,EAP,ENH,Gup,HumDe,KLP,KrVP,LBPO,PP,RNP,RS,SKP,SKÅ,SPI,SVP,VägV
Party names,,,,Moderaterna,Centerpartiet,Folkpartiet liberalerna,Kristdemokraterna,Arbetarepartiet-Socialdemokraterna,Vänsterpartiet,Miljöpartiet de gröna,Sverigedemokraterna,Feministiskt initiativ,Republikanerna,Sverige ut ur EU / Frihetliga Rättvisepartiet (FRP),Framstegspartiet,Direktdemokraterna,Fredsdemokraterna,Nya Partiet,Hälsopartiet,De Nya Svenskarna D.P.N.S,Djurens parti,Djurägarpartiet,Europeiska Arbetarpartiet-EAP,Enhet,Gula Partiet,Humandemokraterna,Klassiskt liberala partiet,Kristna Värdepartiet,Landsbygdspartiet Oberoende,Piratpartiet,Reformist Neutral Partiet,Rättvisepartiet Socialisterna,Sveriges Kommunistiska Parti (SKP),Skånepartiet,SPI Välfärden,Svenskarnas parti,Vägvalet
Max adj seats,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blekinge län,5,0,,19824,5792,3984,3483,37981,4746,4969,18960,1701,0,0,4,16,0,0,2,0,81,0,0,121,0,0,17,34,19,367,0,0,1,0,8,79,0
Dalarnas län,9,0,,35087,14371,6350,6427,65543,10672,9352,31043,4176,0,0,0,65,2,0,1,0,160,0,3,207,0,0,18,92,318,734,0,0,2,0,18,164,0
Gotlands län,2,0,,8450,5317,1494,1095,12774,2308,2859,3259,1764,0,0,0,4,0,0,1,0,19,0,0,48,0,0,3,10,10,202,0,0,0,0,0,17,0
Gävleborgs län,9,0,,31911,12244,6840,5931,70150,12054,9238,29329,4053,0,1,3,16,0,0,1,0,105,0,4,259,0,0,24,75,242,827,0,2,19,0,71,55,1
Hallands län,10,0,,57261,17367,11807,8988,58562,7785,12184,26555,3766,0,1,1,31,1,0,10,0,113,0,4,217,0,0,21,82,55,667,0,0,5,0,893,92,12
Jämtlands län,4,0,,14513,9487,2370,2119,33303,5252,4760,9224,2035,0,0,3,10,0,0,1,0,28,0,1,78,0,0,20,27,110,307,0,7,2,0,1,33,0
Jönköpings län,11,0,,45594,17800,8090,23322,71487,8685,12095,32815,3154,0,0,9,30,0,0,9,0,60,0,0,154,0,0,24,308,90,629,0,5,4,0,4,160,0
Kalmar län,8,0,,32313,13867,5611,7448,56370,7235,7435,24260,2954,0,0,1,30,3,0,4,0,78,0,0,201,0,0,11,61,88,562,0,0,12,0,55,151,0
