Kjördæmi,fixed,min_adj,max_adj,M,C,L,KD,S,V,MP,SD,FI,AFS,BASIP,CSIS,DD,DJUP,EAP,ENH,FHS,GUP,INI,KLP,KRVP,LPO,MED,NMR,NORRP,NYREF,PP,RNP,SF,SKP,SKÅ,TRP,VS
Party names,,,,Moderaterna,Centerpartiet,Liberalerna (tidigare Folkpartiet),Kristdemokraterna,Arbetarepartiet-Socialdemokraterna,Vänsterpartiet,Miljöpartiet de gröna,Sverigedemokraterna,Feministiskt initiativ,Alternativ för Sverige,Basinkomstpartiet,Common sense in Sweden,Direktdemokraterna,Djurens parti,Europeiska Arbetarpartiet-EAP,Enhet,Folkhemmet Sverige,Gula Partiet,Initiativet,Klassiskt liberala partiet,Kristna Värdepartiet,Landsbygdspartiet Oberoende,Medborgerlig Samling,Nordiska motståndsrörelsen,Norrlandspartiet,NY REFORM,Piratpartiet,Reformist Neutral Partiet,Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP),Sveriges Kommunistiska Parti (SKP),SKÅNEPARTIET,TRYGGHETSPARTIET,Vårt land - Sverige
Max adj seats,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockholms län,39,0,,212009,69786,56525,56884,187924,56466,39042,124226,3084,2759,55,0,623,520,15,583,0,0,127,167,577,151,2186,284,0,19,807,0,26,109,0,3,0
Stockholms kommun,29,0,,133731,55428,47988,29776,145245,80217,47044,60135,4360,2226,46,0,492,413,12,406,0,0,162,204,319,45,1752,125,0,4,847,0,22,145,0,0,0
Uppsala län,11,0,,45790,22246,15071,16661,65168,21102,13404,37297,1456,859,18,0,245,74,2,195,0,0,20,81,137,621,552,87,0,0,291,0,3,77,0,1,0
Södermanlands län,9,0,,37401,13577,7958,10089,57612,12162,6773,35450,642,633,6,0,137,54,1,155,0,0,24,41,35,116,354,87,0,0,127,0,0,2,0,0,0
Östergötlands län,14,0,,61354,25162,16082,20065,87450,20352,12595,53017,1210,890,47,1,276,192,1,227,0,0,14,108,112,381,689,82,0,1,352,0,0,15,0,76,0
Jönköpings län,11,0,,40542,23084,9096,27437,63782,11283,7401,44216,603,649,17,0,142,36,1,148,0,0,2,47,299,186,343,55,0,0,194,0,0,4,0,0,0
Kronobergs län,6,0,,23893,11712,4383,9418,36817,7531,4020,25258,342,379,22,0,106,31,1,103,0,0,12,29,64,162,166,29,0,0,70,4,0,6,1,0,0
Kalmar län,8,0,,27733,15774,6038,11583,50178,9851,4645,33075,470,508,7,0,102,40,0,114,0,0,18,21,80,191,258,37,0,0,118,0,0,5,0,10,0
Gotlands län,2,0,,6822,7075,1539,1699,12254,3704,2037,5226,388,64,7,0,43,37,0,51,0,0,0,4,5,65,55,16,0,0,31,0,0,0,0,2,0
Blekinge län,5,0,,18038,7094,4197,5954,32824,5699,3025,26342,351,285,13,0,115,22,0,68,0,0,10,11,44,57,183,24,0,0,147,0,0,0,1,1,0
Skåne läns västra,9,0,,40284,12298,9930,10257,50041,9074,6788,50069,819,592,18,0,135,125,0,119,0,0,9,36,36,65,373,41,0,0,254,0,0,7,5,119,0
Skåne läns södra,12,0,,60619,19994,17768,13527,55185,13426,12435,55903,1250,730,25,0,149,224,1,134,0,0,22,78,55,56,660,76,0,0,352,0,0,38,37,48,0
Skåne läns norra och östra,10,0,,40881,13855,8984,13150,50610,8275,5816,58360,623,613,13,0,140,165,2,159,0,0,7,24,56,140,281,78,0,0,233,0,0,9,5,9,0
Malmö kommun,10,0,,37645,11003,10812,7426,56248,23021,10783,32480,1511,529,22,0,130,149,3,133,0,1,33,45,56,6,414,29,0,0,356,0,0,87,244,123,0
Hallands län,10,0,,49630,21960,12444,15415,56021,10498,7690,40392,715,571,13,0,193,260,0,139,0,0,3,33,67,114,399,40,0,2,229,0,1,10,0,109,0
Västra Götalands läns västra,11,0,,52958,19932,16757,18724,58966,16607,12166,43848,939,687,33,0,192,181,0,171,0,0,11,56,92,70,473,107,0,0,272,0,0,11,0,1,0
Västra Götalands läns norra,8,0,,30794,13809,8124,11347,53328,11029,6349,37391,661,615,21,4,124,96,0,110,0,0,5,24,107,104,310,62,0,0,141,0,0,3,0,0,0
Västra Götalands läns södra,7,0,,27197,13760,7624,10445,40234,9213,4891,28221,450,448,15,0,96,94,1,120,0,0,5,27,91,134,195,35,0,0,197,0,0,4,1,1,0
Västra Götalands läns östra,9,0,,32569,16533,7662,13837,53888,10106,5425,34501,627,544,16,0,124,90,0,136,0,0,5,22,76,147,290,74,0,0,306,0,0,7,0,0,0
Göteborgs kommun,17,0,,69432,24893,25337,19283,83097,48946,24286,47040,2931,1187,104,0,375,435,4,213,0,0,59,112,202,20,867,121,0,1,591,0,0,65,0,2,0
Värmlands län,9,0,,30219,17071,8168,11657,62369,12779,6133,33118,750,582,21,0,135,62,0,105,0,0,0,48,59,195,284,58,0,0,125,0,1,14,1,2,0
Örebro län,9,0,,32470,15254,8888,13520,64646,14775,7189,35499,779,599,23,0,132,83,0,155,0,0,10,38,173,218,336,64,0,1,272,0,0,17,0,0,0
Västmanlands län,8,0,,33122,11539,9448,9969,54287,12181,5108,34740,567,517,13,0,149,65,3,158,0,0,9,34,75,150,315,83,0,4,150,0,0,13,1,0,0
Dalarnas län,9,0,,31320,18813,6848,11522,57776,13654,6249,39029,700,571,15,0,183,34,2,172,0,0,7,49,52,361,297,163,0,0,169,0,0,7,0,1,0
Gävleborgs län,9,0,,28334,16825,7441,9782,63232,15483,5661,36330,592,496,12,15,155,72,1,197,2,0,2,38,24,274,199,53,0,0,154,0,0,13,0,2,0
Västernorrlands län,8,0,,22255,16108,5601,8816,64882,13335,4366,25360,688,505,6,0,118,16,1,123,0,0,8,35,62,273,198,68,36,0,117,0,0,9,0,0,0
Jämtlands län,4,0,,12218,13086,2439,4118,28632,7179,3049,13257,374,225,5,0,66,18,1,80,0,0,4,10,22,236,117,13,0,0,59,0,0,4,0,1,0
Västerbottens län,9,0,,24139,18078,7038,9376,68197,22696,6925,19571,1087,562,4,0,150,42,0,99,0,0,23,55,101,185,279,49,9,0,155,0,0,5,0,0,0
Norrbottens län,8,0,,21299,11751,5356,7741,69493,17810,4604,26276,696,465,15,1,126,18,0,74,0,0,4,27,124,239,231,66,15,0,210,0,0,16,0,0,9
