Kjördæmi,fixed,min_adj,max_adj,M,C,L,KD,S,V,MP,SD,FI,AFS,ANARKIST,ANDOPART,BASINKOM,BJORNPAR,CSIS,DIREKTDE,DMDP,EAE,ENHET,EP,ERRAEDPE,EVAA,FDP,FF,FP,FPA2,FRAMTIDS,FREDSPAR,FRIHETSR,FS,FV,FW,GD,GV,HDH,INVANDRA,JM,KA,KLIMATAL,KLP,KNAPPTRY,KSP,KV,KÄRLEK,LO,MAJSPART,MOD,MONISTER,MR,MS,MS2,NATURFIL,NATURIST,ND,NEOTEKNO,NFDFVN,NM,NRN,NRP,NS,NTTS,OK,OKP,PAX,PF,PF2,PIRATPAR,PN,PS,PSP,PV,REFORMPA,SKP,SKS,SKÅNEPAR,SNOF,SOCIALLI,SR,SUUEFRF,SV,SVENSKAR,SVERIGEP,SWEXITPA,TRYGGHET,VALSAMVE,VS,YGGDRASI,ÄPR
Party names,,,,Moderaterna,Centerpartiet,Liberalerna (tidigare Folkpartiet),Kristdemokraterna,Arbetarepartiet-Socialdemokraterna,Vänsterpartiet,Miljöpartiet de gröna,Sverigedemokraterna,Feministiskt initiativ,Alternativ för Sverige,ANARKISTERNA,ANDOPARTIET,Basinkomstpartiet,Bjornpartiet,Common sense in Sweden,Direktdemokraterna,Det minst dåliga partiet,Europeiska Arbetarpartiet-EAP,Enhet,Enad Politik,Eropean radical reflektion a european dream party ERR,En Vis Avskaffar Asylrätten!,Förenade Demokratiska Partiet,FAMILJENS FRIHET,Fattigmans parti,FN Parti art.27,FramtidsTro,Fredspartiet,Frihetsrörelsen,Företaget Sverige,Fritt val,Fria Wermland,GRÖNA DEMOKRATER,Gula västarna,Humanistisk demokrati (HD),Invandrarpartiet,John Mikkonen,Kalle ankapartiet,Klimatalliansen,Klassiskt liberala partiet,Knapptryckarna,KSP,Kristna Värdepartiet,Kärlek,Landsbygdspartiet Oberoende,Majspartiet,MoD,Monisterna,Min röst,Medborgerlig Samling,MITT SVERIGE,NaturFilosoferna,Naturistpartiet,Ny Demokrati,Neoteknokraterna,Nu får det fan vara nog,Nordiska motståndsrörelsen,NY REFORM (NR),Nationalsocialistiska reformistiska Partiet,Nya Samhällspartiet,Nix to the Six,OK,Ond Kyckling Partiet,Pax,Partiet Frihet,Partiet Folkomröstning,Piratpartiet,Partiet Nyans,Politiskt Skifte,Positivt Samhällsinitiativ (PSI),Partiet Vändpunkt,Reformpartiet,SKP,Stram Kurs Sverige,SKÅNEPARTIET,Stora Norrlands oberoende Frihetsparti,Sociallibertarianerna,Svenska Rikslagen,Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP),Socialisterna-Välfärdspartiet,SVENSKARNA,Sverigepartiet,Swexitpartiet,TRYGGHETSPARTIET,Valsamverkanspartiet,Volt Sverige,Yggdrasil,Ändrings partiet revolution
Max adj seats,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockholms kommun,29,0,,115706,51437,41663,19227,170308,71171,60791,64730,461,1310,1,0,39,0,0,206,1,5,98,0,0,1,1,5,1,0,0,0,2,2,0,0,0,0,0,0,0,11,251,56,339,0,375,0,27,0,610,0,1,1760,0,0,0,1,0,0,53,14,0,0,1,1,8,0,17,1,1172,4634,2,0,34,2,148,15,6,0,0,3,12,13,1,1,0,0,2,15,0,0
Stockholms län,40,0,,197466,60776,48949,40207,223056,51623,42284,144315,394,2047,1,4,20,0,0,235,0,5,127,1,0,0,6,4,2,0,1,1,1,0,0,0,0,1,0,0,1,15,226,33,646,0,750,2,83,0,798,0,1,2184,0,0,0,0,0,1,70,32,0,0,0,0,3,2,13,0,1420,4253,0,0,73,1,296,24,3,0,0,1,24,19,0,0,0,0,0,12,0,0
Uppsala län,12,0,,45457,18040,12465,14766,72499,19543,16750,45237,146,630,1,0,38,0,0,92,1,0,45,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,12,64,11,224,1,257,0,202,0,166,0,0,587,0,0,0,0,0,0,40,0,0,0,0,0,1,0,7,0,384,932,0,0,36,0,107,10,0,0,0,2,3,124,0,0,0,0,1,4,0,1
Södermanlands län,9,0,,35513,10989,6643,8772,60891,9605,7409,42547,87,508,0,0,4,0,0,49,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,28,8,144,0,138,0,40,0,139,0,0,309,0,0,0,1,0,0,27,0,0,0,0,0,0,1,0,1,204,729,1,1,10,0,20,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0
Östergötlands län,14,0,,59623,19479,13271,17943,91837,16884,13917,63733,112,749,1,0,12,2,1,82,1,0,88,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,91,15,249,0,186,1,186,0,237,0,0,630,0,0,0,0,0,0,28,0,0,0,0,0,1,0,3,0,503,582,0,0,16,0,21,4,0,0,0,0,5,52,0,0,1,0,0,4,0,0
Jönköpings län,11,0,,42913,17078,8480,21326,66568,9069,7377,53338,88,558,0,0,2,0,0,47,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,24,7,131,0,563,0,76,1,208,0,0,271,0,0,0,0,0,1,48,0,0,0,0,0,0,0,1,0,223,558,6,0,10,0,9,6,0,0,0,0,12,76,0,0,0,0,1,0,0,2
Kronobergs län,6,0,,24390,7559,3897,8451,38712,6281,4338,29516,44,346,0,0,14,0,0,30,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,9,134,0,121,0,73,0,84,0,0,202,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,95,588,1,0,11,0,10,3,0,0,0,0,1,2,0,0,0,0,3,1,0,0
Kalmar län,8,0,,28672,10523,5126,11226,51179,7484,5427,39516,53,464,0,0,5,0,0,41,0,0,45,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,34,6,157,0,196,2,69,0,111,0,0,261,0,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,202,306,1,0,4,0,18,1,0,0,0,1,8,106,0,0,1,0,0,1,0,0
