Kjördæmi,fixed,min_adj,max_adj,M,C,L,KD,S,V,MP,SD,Pruned
Party names,,,,Moderaterna,Centerpartiet,Liberalerna (tidigare Folkpartiet),Kristdemokraterna,Arbetarepartiet-Socialdemokraterna,Vänsterpartiet,Miljöpartiet de gröna,Sverigedemokraterna,
Max adj seats,,,39,,,,,,,,,
Stockholms kommun,29,0,-,124639,63857,46361,25450,171898,85059,72681,54512,8086
Stockholms län,41,0,-,211111,69312,58824,50651,229173,71843,50638,132386,13140
Uppsala län,12,0,-,48826,20548,13246,17672,72015,25773,22199,41523,4190
Södermanlands län,9,0,-,37380,10664,8654,10977,58319,14005,9254,38535,3174
Östergötlands län,14,0,-,63956,21213,15308,20539,88267,21957,17510,57496,4961
Jönköpings län,11,0,-,46733,16567,10874,24225,62904,14106,9032,48704,3533
Kronobergs län,6,0,-,25662,8008,5626,10256,35565,9798,5714,26144,1774
Kalmar län,7,0,-,30324,10365,6888,13575,46974,9930,6686,34565,2489
Gotlands län,2,0,-,7599,4457,2193,2175,12920,2799,3274,5601,508
Blekinge län,5,0,-,19092,5672,5066,7601,29892,6113,3985,25467,1421
Malmö kommun,10,0,-,35076,12475,9820,6927,61724,36572,19754,28110,2507
Skåne läns västra,9,0,-,40449,10700,11487,10538,52352,15713,8803,48361,2576
Skåne läns södra,12,0,-,63035,21600,17665,14469,61755,16340,19638,53632,3034
Skåne läns norra och östra,10,0,-,43027,10953,11348,14154,47960,12279,7529,56307,2842
Hallands län,10,0,-,53723,17369,13695,16228,58887,12095,10124,45064,3050
Göteborgs kommun,18,0,-,69144,24749,22580,18463,103234,57509,34440,44996,5302
Västra Götalands läns västra,11,0,-,55689,19093,16376,18690,65532,16417,16323,47131,3721
Västra Götalands läns norra,8,0,-,33642,10217,8677,12248,50431,12524,7966,38116,2690
Västra Götalands läns södra,7,0,-,28563,9781,6804,11502,39892,10365,6299,30302,2573
Västra Götalands läns östra,8,0,-,35717,11654,7924,14363,50259,10390,7282,38357,3096
Värmlands län,9,0,-,37149,11185,8208,12668,57395,10740,8064,36422,2950
Örebro län,9,0,-,35795,11605,9000,12589,61609,15874,9901,36056,10584
Västmanlands län,8,0,-,34854,9360,8893,9894,53813,14087,6600,35997,3130
Dalarnas län,9,0,-,34477,12200,7579,13294,55451,10814,8913,41863,3259
Gävleborgs län,9,0,-,32717,11180,7434,11411,58720,12469,7780,39727,3099
Västernorrlands län,7,0,-,25812,10988,5868,11156,54658,10072,7315,30481,2635
Jämtlands län,4,0,-,15148,8745,3072,4736,27343,5227,5762,15272,1509
Västerbottens län,8,0,-,27859,13025,6337,10697,66875,16915,13552,23081,2714
Norrbottens län,8,0,-,26250,8238,5380,10342,60172,10996,7289,29040,2652
